"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","MY.group","SCC.group","CBC.group","DIA.group"
"65","17",">32","<=0.03","<=0.015","4","<=4","1","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","1","1","1",6500,"193","21","0"
"66","17",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","1",6500,"193","21","0"
"67","17",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","1",6500,"193","21","0"
"68","17","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","1","1",6500,"193","21","0"
"73","19","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","NA","0",7500,"97","NA","0"
"74","19","8","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","1","NA","0",7500,"97","NA","0"
"75","19","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","1","NA","0",7500,"97","NA","0"
"76","19","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","1","NA","0",7500,"97","NA","0"
"77","20","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","<=0.25","16","1","0","1","2",8000,"62","60","5"
"78","20","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","<=0.25","16","1","0","1","2",8000,"62","60","5"
"79","20","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","1","2",8000,"62","60","5"
"80","20","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","2",8000,"62","60","5"
"81","21","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","32","1","0","0","0",8000,"253","112","2"
"82","21","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","32","1","0","0","0",8000,"253","112","2"
"83","21","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","0","0",8000,"253","112","2"
"84","21","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","32","1","0","0","0",8000,"253","112","2"
"89","23","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","32","1","0","NA","0",7500,"184","NA","0"
"90","23","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","32","1","0","NA","0",7500,"184","NA","0"
"91","23","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","16","1","0","NA","0",7500,"184","NA","0"
"92","23","4","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","0",7500,"184","NA","0"
"105","27",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","0","0",7700,"123","1","3"
"106","27",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","0","0",7700,"123","1","3"
"107","27","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25",">512","1","1","0","0",7700,"123","1","3"
"108","27","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5",">512","1","1","0","0",7700,"123","1","3"
"109","28","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","NA","1",7500,"92","NA","0"
"110","28","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","1",7500,"92","NA","0"
"111","28","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","1",7500,"92","NA","0"
"112","28","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","1",7500,"92","NA","0"
"113","29",">32","<=0.03","0.03","8","<=4",">16","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","1","1","1",8000,"178","1","0"
"114","29","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","16","<=1","<=4","4","1","32","2","1","1","1",8000,"178","1","0"
"115","29","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","16","2","1","1","1",8000,"178","1","0"
"116","29","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","1","1",8000,"178","1","0"
"125","32","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5","<=8","2","1","NA","0",5000,"140","NA","3"
"126","32","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","1","NA","0",5000,"140","NA","3"
"127","32","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","1","NA","0",5000,"140","NA","3"
"128","32","4","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","1","NA","0",5000,"140","NA","3"
"149","38","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2",">16",">512","2","1","NA","0",7500,"43","NA","2"
"150","38","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","4",">16",">512","2","1","NA","0",7500,"43","NA","2"
"151","38","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","1","NA","0",7500,"43","NA","2"
"152","38","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","NA","0",7500,"43","NA","2"
"169","43","2","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","0","0",8000,"76","1","0"
"170","43",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","0","0","0",8000,"76","1","0"
"171","43","2","<=0.03","<=0.015","<=2","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","0","0","0",8000,"76","1","0"
"172","43","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","0","0","0",8000,"76","1","0"
"173","44","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","1","1","NA","1",8000,"NA","NA","2"
"174","44","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","1","NA","1",8000,"NA","NA","2"
"175","44","4","<=0.03","<=0.015","4","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","1","NA","1",8000,"NA","NA","2"
"176","44","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","1","1","NA","1",8000,"NA","NA","2"
"177","45",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","64","<=1","<=4",">32","0.5",">512","2","0","1","0",7200,"217","1","3"
"178","45",">32","<=0.03","<=0.015","16","<=4","8","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","0","1","0",7200,"217","1","3"
"179","45",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","0","1","0",7200,"217","1","3"
"180","45",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","64","<=1","<=4",">32","0.5",">512","2","0","1","0",7200,"217","1","3"
"181","46","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","0","1","2",7300,"398","1","0"
"182","46","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","0","1","2",7300,"398","1","0"
"183","46","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","0","1","2",7300,"398","1","0"
"184","46","4","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","0","1","2",7300,"398","1","0"
"201","51",">32","<=0.03",">8","16","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1",">64",">32",">16",">512","2","1","0","4",7200,"122","7","3"
"202","51","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","0","4",7200,"122","7","3"
"203","51",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","0","4",7200,"122","7","3"
"204","51",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","0","4",7200,"122","7","3"
"209","53","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","NA","4",6800,"76","NA","1"
"210","53","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","0","NA","4",6800,"76","NA","1"
"211","53","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","NA","4",6800,"76","NA","1"
"212","53","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","0","NA","4",6800,"76","NA","1"
"213","54","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","2","16","2","1","1","0",7000,"152","1","2"
"214","54","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","1","1","0",7000,"152","1","2"
"215","54",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","1","1","0",7000,"152","1","2"
"216","54",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25",">512","2","1","1","0",7000,"152","1","2"
"217","55","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","1","1","5",7066,"293","2","1"
"218","55","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","1","1","5",7066,"293","2","1"
"219","55","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","1","1","5",7066,"293","2","1"
"220","55","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","5",7066,"293","2","1"
"221","56","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","3",7000,"64","14","0"
"222","56","2","<=0.03","<=0.015","4","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","3",7000,"64","14","0"
"223","56","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","1","3",7000,"64","14","0"
"224","56","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","1","3",7000,"64","14","0"
"229","58","2","<=0.03","<=0.015","8","<=4","2","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","0",8000,"NA","NA","1"
"230","58","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","0",8000,"NA","NA","1"
"231","58","2","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","0",8000,"NA","NA","1"
"232","58","2","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","0",8000,"NA","NA","1"
